,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
689,1050,2000,9,20,2000-09-20,17:18:00,3,OH,39,4,100,1,0,0,1,0,15,0,-83.98,39.65,-83.88,39.73,9,500,Tornado,#FF0000,2000-09-20,17,2000,14484.06,359.0840403,101
693,1055,2000,9,22,2000-09-22,22:30:00,3,SC,45,2,5,1,0,0,1,0,0.29,0,-81.48,33.08,-81.43,33.12,4.8,400,Tornado,#008000,2000-09-23,22,2000,7724.832,287.2672322,6
700,612,2000,12,16,2000-12-16,10:34:00,3,AL,1,2,9,1,0,1,0,0,2.5,0,-85.9,31.02,-85.85,31.07,4.5,100,Tornado,#008000,2000-12-16,10,2000,7242.03,71.81680806,10
702,600,2000,12,16,2000-12-16,12:54:00,3,AL,1,4,144,11,1,9,1,0,12.5,0,-87.7,33.05,-87.4,33.2,18,750,Tornado,#FF0000,2000-12-16,12,2000,28968.12,538.6260605,155
708,593,2001,2,16,2001-02-16,12:10:00,3,MS,28,2,1,1,0,0,1,0,0.05,0,-89.97,33.02,-89.87,33.02,4,500,Tornado,#008000,2001-02-16,12,2001,6437.36,359.0840403,2
711,14,2001,2,24,2001-02-24,16:46:00,3,AR,5,2,3,1,0,1,0,0,0,0,-91.97,36.27,-91.87,36.33,8,300,Tornado,#008000,2001-02-24,16,2001,12874.72,215.4504242,4
714,592,2001,2,24,2001-02-24,21:35:00,3,MS,28,3,73,6,0,0,0,6,31.11,0,-89.35,34.03,-88.6,34.58,52,1000,Tornado,#FFAA00,2001-02-25,21,2001,83685.68,718.1680806,79
717,46,2001,3,12,2001-03-12,13:00:00,3,AL,1,1,1,2,0,2,0,0,1,0,-86.62,31.4,-86.62,31.4,3.2,75,Tornado,#0000FF,2001-03-12,13,2001,5149.888,53.86260605,3
720,56,2001,3,15,2001-03-15,3:30:00,3,FL,12,2,21,1,0,1,0,0,2,0,-85.55,30.6,-85.37,30.68,10,350,Tornado,#008000,2001-03-15,3,2001,16093.4,251.3588282,22
725,113,2001,4,10,2001-04-10,18:20:00,3,MO,29,1,2,1,0,1,0,0,0.07,0,-91.95,38.85,-91.93,38.85,3,100,Tornado,#0000FF,2001-04-10,18,2001,4828.02,71.81680806,3
732,613,2001,4,11,2001-04-11,4:25:00,3,OK,40,2,1,1,0,1,0,0,0.08,0,-96.17,34.5,-96.05,34.67,13,200,Tornado,#008000,2001-04-11,4,2001,20921.42,143.6336161,2
733,633,2001,4,11,2001-04-11,15:00:00,3,IA,19,2,3,2,0,0,2,0,0.4,0,-92.38,40.97,-92.32,41.08,8.4,100,Tornado,#008000,2001-04-11,15,2001,13518.456,71.81680806,5
736,605,2001,4,21,2001-04-21,20:15:00,3,KS,20,4,28,1,1,0,0,0,43,0,-98.78,38.5,-98.77,38.57,5,660,Tornado,#FF0000,2001-04-22,20,2001,8046.7,473.9909332,29
752,874,2001,5,31,2001-05-31,19:05:00,3,TN,47,2,2,1,1,0,0,0,0.08,0,-86.2,35.92,-86.1,35.97,6.3,440,Tornado,#008000,2001-05-31,19,2001,10138.842,315.9939555,3
755,266,2001,6,7,2001-06-07,5:24:00,3,LA,22,1,0,1,0,0,1,0,0.05,0,-91.15,30.7,-91.15,30.7,1,30,Tornado,#0000FF,2001-06-07,5,2001,1609.34,21.54504242,1
759,269,2001,6,11,2001-06-11,13:30:00,3,FL,12,0,0,1,1,0,0,0,0.04,0,-81.73,30.28,-81.73,30.28,0.1,10,Tornado,#888888,2001-06-11,13,2001,160.934,7.181680806,1
766,350,2001,6,18,2001-06-18,19:06:00,3,WI,55,3,16,2,2,0,0,0,10,0,-92.65,45.78,-91.97,45.83,34,880,Tornado,#FFAA00,2001-06-18,19,2001,54717.56,631.9879109,18
778,1150,2001,9,24,2001-09-24,15:19:00,3,MD,24,3,55,2,0,0,2,0,101,0,-76.98,38.93,-76.83,39.23,17.5,200,Tornado,#FFAA00,2001-09-24,15,2001,28163.45,143.6336161,57
788,560,2001,10,24,2001-10-24,14:15:00,3,IN,18,2,0,1,0,1,0,0,1,0,-86.9,41.43,-86.48,41.67,35,1760,Tornado,#008000,2001-10-24,14,2001,56326.9,1263.975822,1
789,497,2001,10,24,2001-10-24,14:50:00,3,IN,18,3,2,1,0,0,0,1,8.85,0,-86.43,41.62,-85.65,42.08,47,1320,Tornado,#FFAA00,2001-10-24,14,2001,75638.98,947.9818664,3
798,558,2001,11,23,2001-11-23,19:36:00,3,AR,5,2,4,1,0,1,0,0,2,0,-93.78,35.45,-93.4,35.75,31.5,500,Tornado,#008000,2001-11-24,19,2001,50694.21,359.0840403,5
800,977,2001,11,24,2001-11-24,0:40:00,3,LA,22,3,11,3,1,2,0,0,2.25,0,-91.88,32.8,-91.52,33.13,30,880,Tornado,#FFAA00,2001-11-24,0,2001,48280.2,631.9879109,14
804,590,2001,11,24,2001-11-24,3:10:00,3,MS,28,2,33,3,2,1,0,0,7.5,0,-90.45,34.15,-90.1,34.67,43.5,300,Tornado,#008000,2001-11-24,3,2001,70006.29,215.4504242,36
807,433,2001,11,24,2001-11-24,5:25:00,3,MS,28,4,21,2,2,0,0,0,12,0,-90.2,32.43,-90.05,32.57,11.5,880,Tornado,#FF0000,2001-11-24,5,2001,18507.41,631.9879109,23
809,55,2001,11,24,2001-11-24,10:55:00,3,AL,1,3,1,2,0,2,0,0,1.43,0,-88.05,33.53,-87.53,33.87,38.9,300,Tornado,#FFAA00,2001-11-24,10,2001,62603.326,215.4504242,3
815,551,2001,11,24,2001-11-24,15:01:00,3,AL,1,2,4,2,0,2,0,0,0.3,0,-85.77,34.25,-85.68,34.33,8.2,200,Tornado,#008000,2001-11-24,15,2001,13196.588,143.6336161,6
822,575,2001,11,26,2001-11-26,23:25:00,3,TN,47,3,12,2,0,2,0,0,1.5,0,-88.25,36.25,-88.23,36.28,5,200,Tornado,#FFAA00,2001-11-27,23,2001,8046.7,143.6336161,14
827,572,2002,4,21,2002-04-21,14:49:00,3,IL,17,3,42,1,0,1,0,0,4,0,-88.73,38.35,-88.15,38.35,31.5,500,Tornado,#FFAA00,2002-04-21,14,2002,50694.21,359.0840403,43
831,62,2002,4,27,2002-04-27,23:40:00,3,MO,29,3,16,1,1,0,0,0,4,0,-90.07,37.22,-90.02,37.27,4,200,Tornado,#FFAA00,2002-04-28,23,2002,6437.36,143.6336161,17
833,574,2002,4,28,2002-04-28,0:18:00,3,IL,17,3,10,1,0,0,1,0,8,0,-89.33,37.37,-88.98,37.37,19.3,400,Tornado,#FFAA00,2002-04-28,0,2002,31060.262,287.2672322,11
837,592,2002,4,28,2002-04-28,2:05:00,3,IN,18,2,19,1,0,1,0,0,1.55,0,-86.63,37.85,-86.12,37.87,32.3,150,Tornado,#008000,2002-04-28,2,2002,51981.682,107.7252121,20
844,582,2002,4,28,2002-04-28,16:56:00,3,MD,24,4,122,3,3,0,0,0,124,0,-77.18,38.55,-76.5,38.48,38,650,Tornado,#FF0000,2002-04-28,16,2002,61154.92,466.8092524,125
847,621,2002,5,5,2002-05-05,17:45:00,3,TX,48,2,4,2,0,2,0,0,4.04,0,-101.85,34.73,-101.72,34.82,5,150,Tornado,#008000,2002-05-05,17,2002,8046.7,107.7252121,6
850,85,2002,5,9,2002-05-09,1:11:00,3,IL,17,1,0,2,0,2,0,0,0,0,-89.13,38.53,-89.13,38.53,0.5,100,Tornado,#0000FF,2002-05-09,1,2002,804.67,71.81680806,2
866,880,2002,10,24,2002-10-24,13:19:00,3,TX,48,2,20,1,0,0,1,0,75,0,-97.62,27.73,-97.42,27.78,2.5,200,Tornado,#008000,2002-10-24,13,2002,4023.35,143.6336161,21
869,340,2002,10,29,2002-10-29,2:45:00,3,LA,22,2,3,2,0,2,0,0,0.21,0,-92.37,30.45,-92.28,30.6,10.5,50,Tornado,#008000,2002-10-29,2,2002,16898.07,35.90840403,5
872,898,2002,11,5,2002-11-05,17:35:00,3,AL,1,2,20,1,1,0,0,0,3,0,-85.3,31.57,-85.22,31.6,6,200,Tornado,#008000,2002-11-05,17,2002,9656.04,143.6336161,21
875,907,2002,11,9,2002-11-09,22:26:00,3,TN,47,2,6,2,0,2,0,0,0.5,0,-88.57,35.87,-88.53,35.95,10,220,Tornado,#008000,2002-11-10,22,2002,16093.4,157.9969777,8
876,927,2002,11,10,2002-11-10,1:00:00,3,TN,47,1,0,2,0,2,0,0,0.1,0,-87.15,36.53,-87.13,36.55,0.3,400,Tornado,#0000FF,2002-11-10,1,2002,482.802,287.2672322,2
879,914,2002,11,10,2002-11-10,14:15:00,3,OH,39,4,17,4,1,2,1,0,30,0,-84.77,40.78,-84,41.3,52.8,880,Tornado,#FF0000,2002-11-10,14,2002,84973.152,631.9879109,21
881,931,2002,11,10,2002-11-10,16:15:00,3,OH,39,3,2,1,1,0,0,0,12.8,0,-83.17,41.1,-82.9,41.23,21,100,Tornado,#FFAA00,2002-11-10,16,2002,33796.14,71.81680806,3
884,342,2002,11,10,2002-11-10,18:52:00,3,TN,47,2,24,2,0,2,0,0,0.25,0,-86.22,35.5,-86.02,35.57,12.3,450,Tornado,#008000,2002-11-10,18,2002,19794.882,323.1756363,26
885,362,2002,11,10,2002-11-10,18:52:00,3,AL,1,3,38,4,1,2,1,0,3.2,0,-87.87,33.75,-87.18,34.05,44.3,1175,Tornado,#FFAA00,2002-11-10,18,2002,71293.762,843.8474947,42
886,381,2002,11,10,2002-11-10,18:54:00,3,PA,42,2,19,1,1,0,0,0,1,0,-80.47,41.25,-80.35,41.33,7,500,Tornado,#008000,2002-11-10,18,2002,11265.38,359.0840403,20
888,896,2002,11,10,2002-11-10,19:20:00,3,MS,28,1,0,1,0,0,1,0,0.14,0,-88.95,33.22,-88.25,33.4,51,400,Tornado,#0000FF,2002-11-11,19,2002,82076.34,287.2672322,1
889,375,2002,11,10,2002-11-10,19:31:00,3,TN,47,3,28,7,5,0,2,0,0.97,0,-84.6,36.03,-84.45,36.05,8.3,300,Tornado,#FFAA00,2002-11-11,19,2002,13357.522,215.4504242,35
890,432,2002,11,10,2002-11-10,20:15:00,3,AL,1,3,53,7,0,7,0,0,4.3,0,-87.8,33.77,-86.6,34.15,72.6,1175,Tornado,#FFAA00,2002-11-11,20,2002,116838.084,843.8474947,60
891,341,2002,11,10,2002-11-10,21:43:00,3,TN,47,3,18,4,0,4,0,0,0.5,0,-85.1,35.9,-84.9,35.9,12.2,900,Tornado,#FFAA00,2002-11-11,21,2002,19633.948,646.3512725,22
893,390,2002,11,10,2002-11-10,23:20:00,3,AL,1,2,4,1,0,1,0,0,1.2,0,-85.63,34.12,-85.47,34.15,10.5,440,Tornado,#008000,2002-11-11,23,2002,16898.07,315.9939555,5
898,425,2002,12,17,2002-12-17,23:05:00,3,MO,29,2,17,2,1,0,1,0,0.5,0,-93.78,37.08,-93.7,37.13,4,100,Tornado,#008000,2002-12-18,23,2002,6437.36,71.81680806,19
899,421,2002,12,18,2002-12-18,1:53:00,3,MO,29,1,7,1,0,1,0,0,0.14,0,-94.32,37.35,-94.17,37.42,9.5,100,Tornado,#0000FF,2002-12-18,1,2002,15288.73,71.81680806,8
901,433,2002,12,18,2002-12-18,15:35:00,3,AR,5,3,13,1,0,1,0,0,0,0,-92.32,35.1,-92.18,35.2,9.8,150,Tornado,#FFAA00,2002-12-18,15,2002,15771.532,107.7252121,14
910,27,2003,2,22,2003-02-22,15:09:00,3,KY,21,1,7,2,0,2,0,0,0.3,0,-83.55,37.55,-83.55,37.55,0.5,75,Tornado,#0000FF,2003-02-22,15,2003,804.67,53.86260605,9
912,42,2003,3,19,2003-03-19,11:09:00,3,TN,47,1,1,1,0,1,0,0,0.1,0,-85.58,36.1,-85.45,36.28,12.2,440,Tornado,#0000FF,2003-03-19,11,2003,19633.948,315.9939555,2
916,47,2003,3,20,2003-03-20,4:05:00,3,GA,13,3,200,6,0,4,0,2,6.75,0,-84.27,31.18,-83.95,31.4,25,600,Tornado,#FFAA00,2003-03-20,4,2003,40233.5,430.9008484,206
917,25,2003,3,27,2003-03-27,16:46:00,3,FL,12,2,14,1,1,0,0,0,8,0,-80.2,25.77,-80.2,25.77,6,600,Tornado,#008000,2003-03-27,16,2003,9656.04,430.9008484,15
929,1034,2003,5,4,2003-05-04,15:18:00,3,KS,20,4,30,2,1,0,0,1,47.55,0,-94.83,39.07,-94.5,39.25,21,500,Tornado,#FF0000,2003-05-04,15,2003,33796.14,359.0840403,32
930,221,2003,5,4,2003-05-04,15:35:00,3,KS,20,4,30,4,3,1,0,0,20.2,0,-95.1,37.42,-94.53,37.58,33,880,Tornado,#FF0000,2003-05-04,15,2003,53108.22,631.9879109,34
933,225,2003,5,4,2003-05-04,16:31:00,3,MO,29,3,47,5,4,0,1,0,52.5,0,-94.52,37.57,-92.98,37.8,86,880,Tornado,#FFAA00,2003-05-04,16,2003,138403.24,631.9879109,52
934,220,2003,5,4,2003-05-04,16:45:00,3,KS,20,3,34,5,5,0,0,0,23.9,0,-94.95,37.08,-94.52,37.2,25,880,Tornado,#FFAA00,2003-05-04,16,2003,40233.5,631.9879109,39
935,243,2003,5,4,2003-05-04,17:50:00,3,MO,29,3,48,7,2,3,2,0,47.8,0,-94.2,36.92,-93.37,37.13,49,880,Tornado,#FFAA00,2003-05-04,17,2003,78857.66,631.9879109,55
937,222,2003,5,4,2003-05-04,18:36:00,3,MO,29,3,27,4,3,1,0,0,5,0,-92.83,37.9,-92.57,37.98,14,400,Tornado,#FFAA00,2003-05-04,18,2003,22530.76,287.2672322,31
943,945,2003,5,4,2003-05-04,22:35:00,3,TN,47,4,86,11,2,9,0,0,40,0,-89.03,35.52,-88.35,35.65,39,880,Tornado,#FF0000,2003-05-05,22,2003,62764.26,631.9879109,97
952,811,2003,5,6,2003-05-06,20:32:00,3,IL,17,4,33,2,1,1,0,0,16,0,-89.03,37.27,-88.48,37.38,33,1000,Tornado,#FF0000,2003-05-07,20,2003,53108.22,718.1680806,35
974,912,2003,5,11,2003-05-11,3:30:00,3,KY,21,2,8,1,0,1,0,0,15,0,-84.9,37.8,-84.8,37.82,7,300,Tornado,#008000,2003-05-11,3,2003,11265.38,215.4504242,9
980,1245,2003,6,22,2003-06-22,17:43:00,3,NE,31,2,7,1,1,0,0,0,10,0,-97.72,40.15,-97.77,40.15,3,200,Tornado,#008000,2003-06-22,17,2003,4828.02,143.6336161,8
981,495,2003,6,23,2003-06-23,20:43:00,3,NE,31,4,0,1,0,0,1,0,3.7,0,-97.32,42.5,-97.07,42.53,13,1200,Tornado,#FF0000,2003-06-24,20,2003,20921.42,861.8016967,1
994,663,2003,10,27,2003-10-27,14:39:00,3,NJ,34,0,0,1,0,0,1,0,0,0,-74.83,39.98,-74.83,39.98,0.5,30,Tornado,#888888,2003-10-27,14,2003,804.67,21.54504242,1
1011,807,2004,4,20,2004-04-20,16:44:00,3,IL,17,3,12,8,0,0,8,0,8,0,-89.28,41.25,-89.02,41.33,15.8,880,Tornado,#FFAA00,2004-04-20,16,2004,25427.572,631.9879109,20
1018,932,2004,5,22,2004-05-22,18:30:00,3,NE,31,4,38,1,1,0,0,0,160.22,0,-97.33,40.32,-96.4,40.7,54,4400,Tornado,#FF0000,2004-05-22,18,2004,86904.36,3159.939555,39
1020,1158,2004,5,24,2004-05-24,22:19:00,3,IL,17,1,1,1,0,1,0,0,0,0,-90.57,39.6,-90.47,39.65,7.3,100,Tornado,#0000FF,2004-05-25,22,2004,11748.182,71.81680806,2
1029,1072,2004,5,29,2004-05-29,21:30:00,3,MO,29,4,6,3,3,0,0,0,0.3,0,-94.25,39.88,-94.03,40.22,22,800,Tornado,#FF0000,2004-05-30,21,2004,35405.48,574.5344645,9
1030,969,2004,5,30,2004-05-30,13:25:00,3,IN,18,3,11,1,0,1,0,0,5,0,-86.57,38.33,-86.27,38.38,15,400,Tornado,#FFAA00,2004-05-30,13,2004,24140.1,287.2672322,12
1031,128,2004,5,30,2004-05-30,16:20:00,3,MO,29,1,0,1,0,0,1,0,0.1,0,-90.35,38.75,-90.33,38.77,2,50,Tornado,#0000FF,2004-05-30,16,2004,3218.68,35.90840403,1
1046,1301,2004,6,23,2004-06-23,19:35:00,3,WI,55,3,1,1,1,0,0,0,2.29,0,-88.95,43.67,-88.8,43.65,7.6,300,Tornado,#FFAA00,2004-06-23,19,2004,12230.984,215.4504242,2
1047,293,2004,6,26,2004-06-26,17:05:00,3,TX,48,1,0,1,0,0,1,0,0.01,0,-96.87,30.9,-96.88,30.9,0.8,30,Tornado,#0000FF,2004-06-26,17,2004,1287.472,21.54504242,1
1055,404,2004,8,13,2004-08-13,1:55:00,3,NC,37,2,29,3,0,3,0,0,1.3,0,-77.88,34.4,-77.83,34.47,5,500,Tornado,#008000,2004-08-13,1,2004,8046.7,359.0840403,32
1063,544,2004,9,15,2004-09-15,14:40:00,3,FL,12,1,7,1,0,0,1,0,5,0,-85.75,30.1,-85.73,30.17,5,200,Tornado,#0000FF,2004-09-15,14,2004,8046.7,143.6336161,8
1064,1643,2004,9,15,2004-09-15,14:43:00,3,FL,12,1,1,1,1,0,0,0,0.5,0,-85.4,29.98,-85.47,30.03,5,200,Tornado,#0000FF,2004-09-15,14,2004,8046.7,143.6336161,2
1065,545,2004,9,15,2004-09-15,20:07:00,3,FL,12,2,5,4,4,0,0,0,2.5,0,-85.05,30.5,-85.12,30.57,7,600,Tornado,#008000,2004-09-16,20,2004,11265.38,430.9008484,9
1069,522,2004,9,16,2004-09-16,15:45:00,3,GA,13,2,1,1,0,0,1,0,0.07,0,-83.27,34.28,-83.27,34.33,5.5,50,Tornado,#008000,2004-09-16,15,2004,8851.37,35.90840403,2
1078,1495,2004,9,27,2004-09-27,19:08:00,3,SC,45,2,13,1,0,1,0,0,0,0,-80.97,34.33,-80.98,34.37,2,220,Tornado,#008000,2004-09-27,19,2004,3218.68,157.9969777,14
1083,601,2004,10,18,2004-10-18,18:55:00,3,MO,29,2,7,3,3,0,0,0,0.3,0,-89.82,36.05,-89.82,36.05,0.5,125,Tornado,#008000,2004-10-18,18,2004,804.67,89.77101008,10
1086,649,2004,11,23,2004-11-23,16:27:00,3,TX,48,2,0,1,0,1,0,0,0.6,0,-94.17,30.48,-94.07,30.57,8,600,Tornado,#008000,2004-11-23,16,2004,12874.72,430.9008484,1
1089,634,2004,11,23,2004-11-23,20:05:00,3,LA,22,3,20,1,1,0,0,0,5.8,0,-92.25,31.88,-92,32.03,15,300,Tornado,#FFAA00,2004-11-24,20,2004,24140.1,215.4504242,21
1092,1797,2004,11,24,2004-11-24,2:25:00,3,MS,28,3,2,1,1,0,0,0,2.66,0,-89,32.92,-88.72,33.05,21,600,Tornado,#FFAA00,2004-11-24,2,2004,33796.14,430.9008484,3
1096,136,2004,11,24,2004-11-24,6:59:00,3,AL,1,2,0,1,0,1,0,0,0.21,0,-86.07,33.58,-85.83,33.65,15.2,500,Tornado,#008000,2004-11-24,6,2004,24461.968,359.0840403,1
1102,510,2005,1,12,2005-01-12,23:25:00,3,AR,5,3,13,2,0,2,0,0,3,0,-92.73,33.02,-92.45,33.23,24,900,Tornado,#FFAA00,2005-01-13,23,2005,38624.16,646.3512725,15
1103,623,2005,1,13,2005-01-13,16:58:00,3,GA,13,1,5,2,0,2,0,0,0.26,0,-84.73,31.4,-84.75,31.43,3,100,Tornado,#0000FF,2005-01-13,16,2005,4828.02,71.81680806,7
1107,666,2005,3,22,2005-03-22,12:32:00,3,GA,13,3,18,1,0,1,0,0,7,0,-84.92,31.05,-84.68,31.13,18,1250,Tornado,#FFAA00,2005-03-22,12,2005,28968.12,897.7101008,19
1119,330,2005,8,12,2005-08-12,16:40:00,3,WY,56,2,13,2,0,2,0,0,5,0,-105.47,43.73,-105.47,43.72,1.5,450,Tornado,#008000,2005-08-12,16,2005,2414.01,323.1756363,15
1122,1141,2005,8,18,2005-08-18,17:15:00,3,WI,55,3,23,1,1,0,0,0,34.31,0,-89.43,42.92,-88.98,42.93,18.6,600,Tornado,#FFAA00,2005-08-18,17,2005,29933.724,430.9008484,24
1123,1118,2005,8,29,2005-08-29,14:24:00,3,GA,13,2,3,1,0,0,1,0,5.15,0,-85.08,33.4,-85.1,33.48,5.5,200,Tornado,#008000,2005-08-29,14,2005,8851.37,143.6336161,4
1130,1180,2005,9,24,2005-09-24,15:25:00,3,MS,28,1,2,1,0,1,0,0,0.05,0,-90.53,33.27,-90.57,33.28,3.5,100,Tornado,#0000FF,2005-09-24,15,2005,5632.69,71.81680806,3
1139,1253,2005,11,6,2005-11-06,1:39:00,3,KY,21,3,238,24,0,23,1,0,87.26,0,-87.78,37.83,-87.05,38.1,41.3,500,Tornado,#FFAA00,2005-11-06,1,2005,66465.742,359.0840403,262
1142,1200,2005,11,12,2005-11-12,16:27:00,3,IA,19,3,3,1,1,0,0,0,12.4,0,-94.08,42.17,-93.88,42.35,17.6,150,Tornado,#FFAA00,2005-11-12,16,2005,28324.384,107.7252121,4
1145,1255,2005,11,15,2005-11-15,13:45:00,3,KY,21,3,20,1,0,1,0,0,8.55,0,-88.63,36.68,-88,37.05,44,500,Tornado,#FFAA00,2005-11-15,13,2005,70810.96,359.0840403,21
1154,583,2005,11,27,2005-11-27,18:09:00,3,AR,5,3,8,1,0,0,1,0,0,0,-92.72,35.12,-92.55,35.27,15,700,Tornado,#FFAA00,2005-11-27,18,2005,24140.1,502.7176564,9
1158,549,2005,11,27,2005-11-27,22:30:00,3,MO,29,2,0,1,1,0,0,0,0.25,0,-91.1,36.53,-91,36.68,12,250,Tornado,#008000,2005-11-28,22,2005,19312.08,179.5420202,1
1164,24,2006,1,13,2006-01-13,10:01:00,3,AL,1,1,0,1,1,0,0,0,0.5,0,-87.12,31.43,-87.12,31.43,1,880,Tornado,#0000FF,2006-01-13,10,2006,1609.34,631.9879109,1
1172,80,2006,3,11,2006-03-11,21:20:00,3,MO,29,3,12,2,0,0,2,0,2.2,0,-90,37.82,-89.27,38.18,53.5,400,Tornado,#FFAA00,2006-03-12,21,2006,86099.69,287.2672322,14
1173,96,2006,3,12,2006-03-12,16:12:00,3,MO,29,2,6,1,0,1,0,0,2.5,0,-93.28,38.62,-93.12,38.67,11.2,500,Tornado,#008000,2006-03-12,16,2006,18024.608,359.0840403,7
1176,107,2006,3,12,2006-03-12,19:52:00,3,MO,29,2,13,1,1,0,0,0,0.58,0,-94.33,38.25,-93.92,38.55,26,450,Tornado,#008000,2006-03-13,19,2006,41842.84,323.1756363,14
1180,115,2006,3,12,2006-03-12,20:47:00,3,MO,29,2,7,1,1,0,0,0,1.65,0,-94.25,37.67,-93.67,37.95,38,300,Tornado,#008000,2006-03-13,20,2006,61154.92,215.4504242,8
1182,123,2006,3,12,2006-03-12,21:18:00,3,MO,29,3,26,4,2,2,0,0,5,0,-92.48,39.32,-92.18,39.45,19.7,300,Tornado,#FFAA00,2006-03-13,21,2006,31703.998,215.4504242,30
1185,129,2006,3,12,2006-03-12,22:15:00,3,MO,29,3,8,1,1,0,0,0,55.65,0,-93.8,36.98,-93.35,37.08,42,250,Tornado,#FFAA00,2006-03-13,22,2006,67592.28,179.5420202,9
1196,198,2006,3,30,2006-03-30,20:28:00,3,MO,29,1,0,1,1,0,0,0,0.45,0,-93.43,38.63,-93.23,38.75,13.6,75,Tornado,#0000FF,2006-03-31,20,2006,21887.024,53.86260605,1
1199,226,2006,4,2,2006-04-02,16:15:00,3,IL,17,2,11,1,0,0,1,0,0,0,-90,38.57,-89.95,38.6,7,100,Tornado,#008000,2006-04-02,16,2006,11265.38,71.81680806,12
1200,233,2006,4,2,2006-04-02,16:37:00,3,AR,5,3,177,2,0,0,2,0,86,0,-90.97,36.22,-89.65,36.18,77,880,Tornado,#FFAA00,2006-04-02,16,2006,123919.18,631.9879109,179
1205,266,2006,4,2,2006-04-02,18:32:00,3,TN,47,3,70,16,9,7,0,0,20,0,-89.52,36.12,-89.2,36.13,18,880,Tornado,#FFAA00,2006-04-02,18,2006,28968.12,631.9879109,86
1206,268,2006,4,2,2006-04-02,19:09:00,3,TN,47,3,44,6,5,1,0,0,26.54,0,-89.03,36.07,-88.48,36.07,31,880,Tornado,#FFAA00,2006-04-02,19,2006,49889.54,631.9879109,50
1207,271,2006,4,2,2006-04-02,19:43:00,3,TN,47,3,6,2,2,0,0,0,15,0,-89.05,36.18,-88.97,36.13,8,880,Tornado,#FFAA00,2006-04-02,19,2006,12874.72,631.9879109,8
1212,299,2006,4,7,2006-04-07,13:08:00,3,TN,47,3,128,7,3,1,3,0,79,0,-86.77,36.32,-86.37,36.4,22.7,880,Tornado,#FFAA00,2006-04-07,13,2006,36532.018,631.9879109,135
1214,305,2006,4,7,2006-04-07,15:45:00,3,TN,47,1,0,2,0,2,0,0,0.5,0,-85.97,35.83,-85.72,35.83,11,150,Tornado,#0000FF,2006-04-07,15,2006,17702.74,107.7252121,2
1216,316,2006,4,7,2006-04-07,17:28:00,3,TN,47,1,0,1,0,1,0,0,0.1,0,-85.92,35.58,-85.92,35.58,4,100,Tornado,#0000FF,2006-04-07,17,2006,6437.36,71.81680806,1
1223,358,2006,4,13,2006-04-13,19:45:00,3,IA,19,1,1,1,0,1,0,0,0.12,0,-91.38,41.43,-91.22,41.45,9.4,440,Tornado,#0000FF,2006-04-13,19,2006,15127.796,315.9939555,2
1227,509,2006,5,9,2006-05-09,21:37:00,3,TX,48,3,10,3,1,2,0,0,1.5,0,-96.52,33.37,-96.4,33.45,9.3,300,Tornado,#FFAA00,2006-05-10,21,2006,14966.862,215.4504242,13
1241,830,2006,8,24,2006-08-24,16:30:00,3,MN,27,3,37,1,1,0,0,0,23.5,0,-94.27,44.27,-93.62,44.25,33,880,Tornado,#FFAA00,2006-08-24,16,2006,53108.22,631.9879109,38
1243,883,2006,9,16,2006-09-16,20:52:00,3,MN,27,2,0,1,1,0,0,0,30.05,0,-93.63,45.2,-93.43,45.25,8,100,Tornado,#008000,2006-09-17,20,2006,12874.72,71.81680806,1
1251,1026,2006,11,15,2006-11-15,1:55:00,3,LA,22,2,2,1,0,1,0,0,0.5,0,-90.54,30.75,-90.55,30.8,6.02,100,Tornado,#008000,2006-11-15,1,2006,9688.2268,71.81680806,3
1258,1053,2006,11,15,2006-11-15,22:45:00,3,NC,37,1,1,1,0,1,0,0,0.11,0,-80.82,35.75,-80.82,35.84,6,40,Tornado,#0000FF,2006-11-16,22,2006,9656.04,28.72672322,2
